account_id,customer_id,branch_id,account_type,balance,opened_date
A001,C001,B001,savings,12500.50,2025-01-06
A002,C002,B002,current,8200.00,2025-01-13
A003,C003,B003,savings,3400.75,2025-02-04
A004,C004,B004,current,650.00,2025-02-11
A005,C005,B005,savings,25000.00,2025-03-02
A006,C006,B001, Savings ,1800.00,16/03/2025
A007,C007,B002,CURRENT,920.25,2025/04/03
A008,C008,B003,savings,4800.00,2025-04-11
A009,C009,B002,current,0.00,2025-05-02
A010,C010,B001,savings,7600.00,2025-05-21
A003,C003,B003,savings,3400.75,2025-02-04
A011,C999,B001,savings,100.00,2025-06-01
A012,C001,B999,current,200.00,2025-06-01
A013,C002,B002,savings,unknown,2025-06-01
,C003,B003,current,300.00,2025-06-01
A014,C004,B004,investment,400.00,2025-06-01
