transaction_id,account_id,branch_id,transaction_type,amount,transaction_date
T001,A001,B001,deposit,1500.00,2025-06-01
T002,A002,B002,withdrawal,200.00,2025-06-01
T003,A003,B003,card_payment,89.99,2025-06-02
T004,A004,B004,transfer,500.00,2025-06-02
T005,A005,B005,deposit,2200.50,2025-06-03
T006,A006,B001, Deposit ,350.00,13/06/2025
T007,A007,B002,CARD PAYMENT,125.75,2025/06/04
T008,A008,B003,withdrawal,400.00,2025-06-04
T009,A009,B002,transfer,100.00,2025-06-05
T010,A010,B001,card_payment,240.00,2025-06-05
T011,A001,B001,deposit,75000.00,2025-06-06
T012,A002,B002,card_payment,65.50,2025-06-06
T003,A003,B003,card_payment,89.99,2025-06-02
T013,A999,B001,deposit,100.00,2025-06-07
T014,A001,B999,withdrawal,50.00,2025-06-07
T015,A002,B002,deposit,-25.00,2025-06-07
T016,A003,B003,card_payment,0.00,2025-06-07
T017,A004,B004,transfer,invalid,2025-06-07
T018,A005,B005,deposit,100.00,2025-02-30
,A006,B001,withdrawal,20.00,2025-06-07
T019,A007,B002,refund,30.00,2025-06-07
T020,,B003,deposit,90.00,2025-06-07
